ID,Education,Group_Age,Marital_Status,Income,Income_Class,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,NumOfPurchases,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Accepted_Rate,num_children,total_Mnt,has_children,AcceptedCmp6,Age_Group,Frequency,Monetary,Income_Score,R,F,M,I,RFMI_SCORE,RFMI_score,RFMI_Segment
5524,Middle Education,Old,Single,58138.0,Middle,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,22,0,0,0,0,1,67,1,0,1617,0,1,Old,25,1617,3,3,5,5,3,3553,3553,High
2174,Middle Education,Old,Single,46344.0,Middle,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,4,0,0,0,0,0,70,0,2,27,1,0,Old,6,27,3,4,1,1,3,4113,4113,High
4141,Middle Education,Adult,Together,71613.0,Upper,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,20,0,0,0,0,0,59,0,0,776,0,0,Adult,21,776,4,4,4,4,4,4444,4444,High
6182,Middle Education,Young,Together,26646.0,Lower,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,6,0,0,0,0,0,40,0,1,53,1,0,Young,8,53,1,4,2,1,1,4211,4211,High
5324,High Education,Young,Married,58293.0,Middle,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,14,0,0,0,0,0,43,0,1,422,1,0,Young,19,422,3,1,4,3,3,1433,1433,Low
7446,High Education,Adult,Together,62513.0,Middle,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,20,0,0,0,0,0,57,0,1,716,1,0,Adult,22,716,4,5,4,4,4,5444,5444,High
965,Middle Education,Adult,Single,55635.0,Middle,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,17,0,0,0,0,0,53,0,1,590,1,0,Adult,21,590,3,4,4,3,3,4433,4433,High
6177,High Education,Young,Married,33454.0,Lower,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,8,0,0,0,0,0,39,0,1,169,1,0,Young,10,169,2,4,2,2,2,4222,4222,High
4855,High Education,Adult,Together,30351.0,Lower,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,5,0,0,0,0,1,50,1,1,46,1,1,Adult,6,46,1,5,1,1,1,5111,5111,High
387,Low Education,Adult,Married,7500.0,Lower,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,5,0,0,0,0,0,48,0,0,61,0,0,Adult,6,61,1,2,1,2,1,2121,2121,Medium
2125,Middle Education,Old,Single,63033.0,Middle,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,15,0,0,0,0,0,65,0,0,1102,0,0,Old,16,1102,4,1,3,4,4,1344,1344,Low
8180,High Education,Old,Single,59354.0,Middle,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,12,0,0,0,0,0,72,0,2,310,1,0,Old,15,310,4,3,3,3,4,3334,3334,High
